pair,period,total_pnl,total_costs,trade_count,avg_pnl_per_trade,win_days,lose_days,total_days,max_daily_gain,max_daily_loss,error
ONEUSDT-XRPUSDC,08/02-10/31,4.864592552185059,0.9729560613632202,20,0.24322962760925293,12,28,2881,3.1903626918792725,-2.1140799522399902,
LTCBTC-RVNUSDT,08/02-10/31,1.9940364360809326,0.49020540714263916,10,0.19940364360809326,5,15,2881,2.8814327716827393,-0.5940425992012024,
LUNCUSDC-RVNUSDT,08/02-10/31,-14.13262939453125,0.5352746248245239,20,-0.7066314816474915,10,30,2881,2.4731884002685547,-8.074934959411621,
TIMEUSDT-ZENUSDT,08/02-10/31,-4.00653076171875,0.39470070600509644,35,-0.11447230726480484,8,62,2881,1.676559329032898,-2.292367458343506,
ETCUSDT-XRPUSDC,08/02-10/31,2.753406286239624,0.19915784895420074,22,0.12515483796596527,14,30,2881,1.6786541938781738,-0.9149744510650635,
ARUSDT-MANAUSDC,08/02-10/31,-9.173909187316895,2.2506847381591797,20,-0.4586954712867737,14,26,2881,3.85718035697937,-15.202537536621094,
INTERUSDT-KSMUSDT,08/02-10/31,0.6646230816841125,0.24505743384361267,25,0.026584923267364502,11,39,2881,0.5676544904708862,-0.08155976980924606,
INTERUSDT-ZENUSDT,08/02-10/31,3.3301773071289062,0.2349061220884323,25,0.13320709764957428,8,42,2881,1.8339393138885498,-0.2752441465854645,
HNTUSDT-VPADUSDT,08/02-10/31,6.1409430503845215,0.06489583849906921,5,1.2281886339187622,1,9,2881,7.513505935668945,-1.3251779079437256,
INTERUSDT-MANAUSDT,08/02-10/31,0.3128569722175598,0.44343245029449463,30,0.010428565554320812,11,49,2881,1.6827200651168823,-2.332764148712158,
INTERUSDT-USTCUSDT,08/02-10/31,0.5025203824043274,0.3446836769580841,24,0.02093834988772869,7,41,2881,0.4420112669467926,-0.08389881998300552,
AFCUSDT-DOTUSDC,08/02-10/31,-1.9420170783996582,0.21391400694847107,14,-0.13871550559997559,7,21,2881,4.959356784820557,-4.488110542297363,
CITYUSDT-JUVUSDT,08/02-10/31,0.4151967763900757,0.1969699114561081,23,0.018052034080028534,5,41,2881,2.9586341381073,-2.689497232437134,
ETHWUSDT-SANDUSDC,08/02-10/31,12.979228973388672,0.5701699256896973,19,0.6831173300743103,13,25,2881,3.0484259128570557,-1.7041786909103394,
ARKMUSDT-OPUSDT,08/02-10/31,0.7623422145843506,0.36250603199005127,25,0.030493687838315964,14,36,2881,1.1604032516479492,-0.4130561649799347,
SFUNDUSDT-VPADUSDT,08/02-10/31,3.3120265007019043,0.26577967405319214,6,0.5520043969154358,3,9,2881,3.5778305530548096,-0.11326214671134949,
HFTUSDC-SFUNDUSDT,08/02-10/31,2.7528083324432373,0.7825742959976196,25,0.11011233180761337,15,35,2881,1.604932427406311,-1.9824355840682983,
HFTUSDC-JUVUSDT,08/02-10/31,11.312068939208984,0.8225880265235901,24,0.4713362157344818,13,35,2881,9.043450355529785,-0.45666494965553284,
HFTUSDT-SUIUSDT,08/02-10/31,2.6234524250030518,1.8548774719238281,23,0.11406315118074417,10,36,2881,4.413817882537842,-1.8261189460754395,
NEXOUSDT-PSGUSDT,08/02-10/31,0.7126189470291138,0.6398768424987793,26,0.0274084210395813,2,50,2881,1.8108943700790405,-0.5303242206573486,
FLOWUSDT-MASKUSDT,08/02-10/31,-0.9289326667785645,1.5455496311187744,36,-0.025803685188293457,18,54,2881,2.627324342727661,-2.682203531265259,
RSS3USDT-SCRTUSDT,08/02-10/31,3.204576253890991,0.32868990302085876,8,0.4005720317363739,2,14,2881,15.367015838623047,-6.442600250244141,
MANAUSDC-XRPUSDC,08/02-10/31,-2.6525821685791016,1.0555132627487183,20,-0.13262911140918732,6,34,2881,9.220377922058105,-2.7589383125305176,
BATUSDT-FIDAUSDT,08/02-10/31,5.49609375,0.38709840178489685,23,0.23896059393882751,16,30,2881,2.515895128250122,-1.8820805549621582,
FORTUSDT-VPADUSDT,08/02-10/31,16.5836124420166,0.4626699686050415,20,0.8291805982589722,9,31,2881,25.008777618408203,-7.82051420211792,
FORTUSDT-TWTUSDT,08/02-10/31,3.0225448608398438,0.45028430223464966,12,0.2518787384033203,6,18,2881,5.1843061447143555,-3.1730153560638428,
XDCUSDT-XTZUSDT,08/02-10/31,2.342937707901001,0.07587600499391556,13,0.18022598326206207,9,17,2881,1.539307951927185,-0.09692221134901047,
MVUSDT-NEARUSDT,08/02-10/31,2.006989002227783,0.09441474080085754,10,0.20069889724254608,9,11,2881,0.6893589496612549,-0.13856230676174164,
DOGEUSDT-TELUSDT,08/02-10/31,-3.2731528282165527,1.3239988088607788,25,-0.13092611730098724,11,39,2881,3.5606191158294678,-7.499290943145752,
ROSEUSDT-USTCUSDT,08/02-10/31,2.5167081356048584,0.3370039165019989,10,0.25167080760002136,5,15,2881,1.1035258769989014,-0.7759646773338318,
DAIUSDT-XRPUSDC,08/02-10/31,0.4439779818058014,0.008127864450216293,2,0.2219889909029007,1,3,2881,0.4489901065826416,-0.0032319563906639814,
ONEUSDT-XRPUSDT,08/02-10/31,9.487547874450684,1.1472675800323486,21,0.4517880082130432,13,29,2881,3.378654956817627,-2.002784013748169,
LTCBTC-XRPUSDC,08/02-10/31,8.140867233276367,0.7616921067237854,13,0.6262205839157104,10,16,2881,7.132911682128906,-1.502622365951538,
XECUSDT-ZILUSDT,08/02-10/31,-14.537999153137207,1.8418729305267334,24,-0.6057499647140503,12,36,2881,15.63877010345459,-12.450613021850586,
TIMEUSDT-WAVESUSDT,08/02-10/31,-2.8342058658599854,0.3969755172729492,35,-0.08097731322050095,9,61,2881,3.6831512451171875,-2.306267023086548,
APTUSDT-ARBUSDC,08/02-10/31,1.0628005266189575,0.4938540458679199,16,0.06642503291368484,7,25,2881,2.4899396896362305,-2.3204524517059326,
AXSUSDT-UNIUSDT,08/02-10/31,-13.513263702392578,0.8691362142562866,16,-0.8445789813995361,5,27,2881,1.3487964868545532,-4.9736223220825195,
AXSUSDT-SANDUSDT,08/02-10/31,-4.756962776184082,0.5774545073509216,12,-0.39641356468200684,5,19,2881,2.1405694484710693,-3.9008495807647705,
INTERUSDT-STXUSDT,08/02-10/31,-0.006402313709259033,0.36663877964019775,28,-0.00022865405480843037,6,50,2881,0.3730902075767517,-0.2869150638580322,
INTERUSDT-LTCUSDC,08/02-10/31,-1.2236162424087524,0.3187985420227051,30,-0.04078720882534981,15,45,2881,1.5864489078521729,-3.4687368869781494,
INTERUSDT-MANAUSDC,08/02-10/31,-1.2993968725204468,0.47469332814216614,31,-0.041916027665138245,11,51,2881,1.646927833557129,-2.2178945541381836,
PSGUSDT-VPADUSDT,08/02-10/31,0.19660703837871552,0.08660749346017838,10,0.01966070383787155,3,17,2881,0.25165483355522156,-0.014393195509910583,
AFCUSDT-DOTUSDT,08/02-10/31,-1.9643511772155762,0.21251602470874786,14,-0.14031079411506653,6,22,2881,4.933905601501465,-4.487490653991699,
NEARUSDT-RPLUSDT,08/02-10/31,1.8282697200775146,0.8624390363693237,20,0.0914134830236435,12,28,2881,1.5579006671905518,-1.55314040184021,
ETHWUSDT-SANDUSDT,08/02-10/31,13.705771446228027,0.6572818756103516,20,0.6852885484695435,14,26,2881,3.222538948059082,-1.3702245950698853,
ARKMUSDT-OPUSDC,08/02-10/31,0.8032850027084351,0.35283222794532776,25,0.03213139995932579,14,36,2881,1.1055995225906372,-0.45132550597190857,
NEARUSDT-XTZUSDT,08/02-10/31,-11.658676147460938,1.1167081594467163,27,-0.43180280923843384,11,43,2881,1.394613265991211,-3.6980812549591064,
HFTUSDT-PSGUSDT,08/02-10/31,-3.9743130207061768,1.4661697149276733,31,-0.1282036453485489,13,49,2881,1.205237865447998,-1.6043545007705688,
THETAUSDT-XRPUSDT,08/02-10/31,8.510805130004883,0.7214259505271912,18,0.47282251715660095,11,25,2881,5.455123424530029,-2.586656332015991,
HFTUSDC-SUIUSDC,08/02-10/31,3.232722282409668,1.3637220859527588,26,0.12433547526597977,12,40,2881,2.802503824234009,-1.049495816230774,
CTCUSDT-SDUSDT,08/02-10/31,3.8494315147399902,0.8407630920410156,13,0.2961101233959198,8,18,2881,4.70098352432251,-12.564972877502441,
C98USDT-SSVUSDT,08/02-10/31,11.569549560546875,1.244097352027893,26,0.4449826776981354,14,38,2881,8.39568042755127,-1.8600109815597534,
C98USDT-HOOKUSDT,08/02-10/31,17.441696166992188,1.0278854370117188,21,0.8305569887161255,14,28,2881,9.624601364135742,-1.8351243734359741,
SANDUSDT-UNIUSDT,08/02-10/31,-3.0939443111419678,0.8245319724082947,20,-0.1546972095966339,8,32,2881,1.0325685739517212,-3.365054130554199,
