s1,s2,reason
LRCUSDT,XECUSDT,beta_out_of_range (9446.51)
GRTUSDT,SHIBUSDC,beta_out_of_range (34117.47)
BTCUSDC,LTCUSDT,beta_out_of_range (922.97)
ARBUSDC,BTCUSDT,beta_out_of_range (0.00)
ADAEUR,ETHEUR,beta_out_of_range (0.00)
ADAUSDT,SPELLUSDT,beta_out_of_range (835.34)
GMXUSDT,LRCUSDT,beta_out_of_range (254.97)
ETHUSDT,WAVESUSDT,beta_out_of_range (628.23)
CHZUSDT,XECUSDT,beta_out_of_range (3396.14)
NEARUSDT,ONEUSDT,beta_out_of_range (138.93)
CRVUSDT,SPELLUSDT,beta_out_of_range (958.39)
PENDLEUSDT,STETHUSDT,beta_out_of_range (0.00)
ARBUSDT,BTCUSDT,beta_out_of_range (0.00)
ETHUSDC,WAVESUSDT,beta_out_of_range (628.95)
WBTCUSDT,XECUSDT,beta_out_of_range (1512390113.30)
ADAUSDC,SPELLUSDT,beta_out_of_range (836.16)
1INCHUSDT,SHIBUSDT,beta_out_of_range (69840.55)
LUNCUSDT,WAVESUSDT,beta_out_of_range (0.00)
SPELLUSDT,WAVESUSDT,beta_out_of_range (0.00)
ETHUSDT,PENDLEUSDT,beta_out_of_range (994.53)
KSMUSDT,ZILUSDT,beta_out_of_range (1599.57)
ATOMUSDT,ONEUSDT,beta_out_of_range (512.86)
1INCHUSDT,SHIBUSDC,beta_out_of_range (69779.35)
ETHUSDC,PENDLEUSDT,beta_out_of_range (995.83)
CRVUSDT,PEPEUSDT,beta_out_of_range (209761.39)
1INCHUSDT,XECUSDT,beta_out_of_range (18342.21)
ACHUSDT,PEPEUSDT,beta_out_of_range (11227.44)
FILUSDT,XECUSDT,beta_out_of_range (236695.25)
CHZUSDC,XECUSDT,beta_out_of_range (3397.59)
COMPUSDT,XLMUSDT,beta_out_of_range (585.74)
ARBUSDC,BTCUSDC,beta_out_of_range (0.00)
ADAEUR,SPELLUSDT,beta_out_of_range (730.65)
OMGUSDT,SPELLUSDT,beta_out_of_range (1266.93)
MANAUSDC,SPELLUSDT,beta_out_of_range (1026.05)
LTCUSDC,WBTCUSDT,beta_out_of_range (0.00)
ARBUSDT,BTCUSDC,beta_out_of_range (0.00)
BTCUSDT,XECUSDT,beta_out_of_range (1512534587.28)
